Hi.	Salut!
Where's everyone going?	Où est-ce que tout le monde va ?
Which is your suitcase?	Quelle est votre valise ?
Which way should we go?	De quel côté devrions-nous nous diriger ?
Who are you talking to?	À qui parles-tu ?
Who chose those colors?	Qui a choisi ces couleurs ?
Who do you want to win?	Qui souhaitez-vous voir gagner ?
Who told you the story?	Qui vous a raconté l'histoire ?
Who're you calling now?	Qui es-tu en train d'appeler ?
Whose notebook is that?	À qui est cet ordinateur portatif ?
Why are you busy today?	Pourquoi êtes-vous occupés aujourd'hui ?
Why are you helping me?	Pourquoi m'aides-tu ?
Why are you so grouchy?	Pourquoi es-tu si grognon ?
Why did Tom have to go?	Pourquoi Tom devait-il partir?
Why did you take a cab?	Pourquoi as-tu pris un taxi ?
Why do you ask me that?	Pourquoi est-ce que tu me demandes ça ?
Why don't you call Tom?	Pourquoi n'appelles-tu pas Tom ?
Why don't you sit here?	Pourquoi ne vous asseyez-vous pas ici ?
Why is my name circled?	Pourquoi mon nom est-il entouré ?
Why wait for Christmas?	Pourquoi attendre Noël ?
Why would they do that?	Pourquoi feraient-elles ça ?
Will it be much longer?	Est-ce que ça va durer encore longtemps ?
Will you do me a favor?	Me feras-tu une faveur ?
Will you join our club?	Rejoindras-tu notre cercle ?
Won't you take a chair?	Vous ne voulez pas prendre une chaise ?
Would you like a drink?	Tu veux prendre un verre ?
Would you play with me?	Voudrais-tu jouer avec moi ?
You are always welcome.	Vous serez toujours la bienvenue.
You are right in a way.	En un sens, vous avez raison.
You are the chosen one.	Vous êtes l'élue.
You can use my bicycle.	Vous pouvez utiliser mon vélo.
You can't go right now.	Tu ne peux pas y aller maintenant.
You can't hypnotize me.	Vous ne parviendrez pas à m'hypnotiser.
You can't make us stop.	Vous ne pouvez pas nous faire nous arrêter.
You could've been hurt.	Tu aurais pu être blessée.
You don't have a fever.	Tu n'as pas de fièvre.
You don't have to come.	Vous n'êtes pas forcées de venir.
You don't have to talk.	Vous n'avez pas besoin de parler.
You don't look so busy.	Vous n'avez pas l'air si occupés.
You don't need to wait.	Il n'est pas nécessaire que tu attendes.
You don't want to know.	Tu ne veux pas savoir.
You guys are dangerous.	Vous êtes dangereux.
You have a point there.	Tu tiens là un argument.
You have three choices.	Tu as trois choix.
You knew I was married.	Vous saviez que j'étais mariée.
You know where I'll be.	Vous savez où je serai.
You look good in black.	Vous êtes jolies en noir.
You look like your dad.	Tu ressembles à ton père.
You may use my new car.	Tu peux utiliser ma nouvelle voiture.
You must be very proud.	Vous devez être très fières.
You must do this alone.	Tu dois faire ceci tout seul.
You must start at once.	Tu dois commencer immédiatement.
You need to be careful.	Il te faut être prudente.
You need to get to bed.	Tu dois aller au lit.
You need to stay awake.	Vous devez rester éveillés.
You never get my jokes.	Tu ne saisis jamais mes plaisanteries.
You people are amazing.	Vous êtes incroyables.
You seem to hate women.	Vous semblez détester les femmes.
You should go home now.	Tu devrais aller à la maison, maintenant.
You shouldn't be angry.	Tu ne devrais pas être en colère.
You think you're funny?	Tu penses être drôle ?
You weren't even there.	Tu n'y étais même pas.
You won't feel a thing.	Vous ne sentirez rien.
You'd better leave now.	Maintenant, vous feriez mieux de partir.
You'll lose everything.	Vous perdrez tout.
You're a wonderful guy.	Tu es un type génial.
You're embarrassing me.	Tu me mets mal à l'aise.
You're not often wrong.	Tu n'as pas souvent tort.
You're reading my mind.	Tu lis mes pensées.
You're really gorgeous.	Vous êtes vraiment magnifique.
You're such a mean man.	Tu es un homme si méchant.
You're very attractive.	Vous êtes fort attirantes.
You're wasting my time.	Vous gaspillez mon temps.
You've got to trust me.	Tu dois me faire confiance.
You've run out of time.	Ton temps est écoulé.
Your cake is delicious.	Ton gâteau est délicieux.
Your ideas are welcome.	Vos idées sont les bienvenues.
Your shirt is wrinkled.	Votre chemise est froissée.
A cold wind was blowing.	Un vent froid soufflait.
A horse passed my house.	Un cheval passa devant chez moi.
A promise is not enough.	Une promesse ne suffit pas.
All I want is your love.	Tout ce que je veux, c'est votre affection.
All of us stared at her.	Nous la fixions toutes.
All the boxes are empty.	Toutes les caisses sont vides.
Any child could do that.	N'importe quel enfant pourrait faire cela.
Are they going to fight?	Vont-ils se battre ?
Are we going to do that?	Est-ce qu'on va faire ça ?
Are you blackmailing me?	Me fais-tu du chantage ?
Are you doing all right?	Vas-tu bien ?
Are you good at cooking?	Es-tu bon en cuisine ?
Are you happy right now?	Êtes-vous heureux en ce moment ?
Are you here on holiday?	Es-tu ici en vacances ?
Are you listening to me?	M'écoutez-vous ?
Are you referring to me?	Vous faites allusion à moi ?
Are you sure about that?	En es-tu sûr ?
Are you sure it was Tom?	Êtes-vous sûr que c'était Tom ?
Are you tired of living?	Es-tu fatiguée de vivre ?
Aren't you feeling well?	Tu ne te sens pas bien ?
Atoms are in everything.	Les atomes sont dans tout.
Be nicer to your sister.	Soyez plus gentils avec votre sœur.
Black looks good on you.	Le noir te va bien.
Bring along your friend.	Amène ton amie.
Can I eat my lunch here?	Puis-je prendre ici mon déjeuner ?
Can I meet you tomorrow?	Puis-je vous rencontrer demain ?
Can I take your picture?	Puis-je te prendre en photo ?
Can we talk about music?	Pouvons-nous parler musique ?
Can you lower the price?	Pouvez-vous baisser le prix ?
Can you read this kanji?	Peux-tu lire ce caractère chinois ?
Can you teach me French?	Peux-tu m'enseigner le français ?
Charge it to my account.	Mets-le sur mon compte !
Come on, answer quickly.	Allez ! réponds rapidement.
Could it be that simple?	Pourrait-ce être si simple ?
Days are getting longer.	Les jours s'allongent.
Did anyone say anything?	Quiconque a-t-il dit quoi que ce soit ?
Did you call the police?	As-tu appelé la police ?
Did you enjoy the movie?	Le film vous a-t-il plu ?
Did you get the flowers?	As-tu reçu les fleurs ?
Did you pack any snacks?	As-tu emporté le moindre casse-croûte ?
Did you settle the bill?	Avez-vous réglé la note ?
Did you write your name?	As-tu écrit ton nom ?
Do me a favor, will you?	Rendez-moi un service, voulez-vous ?
Do you have a cellphone?	As-tu un natel ?
Do you have a cellphone?	T’as un portable ?
Do you have an umbrella?	Est-ce que tu as un parapluie ?
Do you have earrings on?	Portez-vous des boucles d'oreille ?
Do you know anyone here?	Connais-tu quiconque, ici ?
Do you know where it is?	Sais-tu où elle est ?
Do you like to be alone?	Aimes-tu être seul ?
Do you need a ride home?	Vous faut-il un chauffeur pour rentrer chez vous ?
Do you recognize anyone?	Reconnaissez-vous qui que ce soit ?
Do you think I'm pretty?	Me trouves-tu mignon ?
Do you want a cold beer?	Veux-tu une bière fraîche?
Do you want to buy this?	Voulez-vous acheter ceci ?
Do you want to touch it?	Veux-tu le toucher ?
Do you watch television?	Regardez-vous la télévision ?
Doesn't that smell good?	Cela ne sent-il pas bon ?
Don't be so pessimistic.	Ne sois pas si pessimiste !
Don't climb on the wall.	Ne grimpe pas sur le mur.
Don't drag me into this.	Ne m'entraîne pas là-dedans.
Don't forget the ticket.	N'oublie pas le billet.
Don't give me that look.	Ne me jetez pas ce regard !
Don't let it get to you.	Ne le laissez pas vous approcher !
Don't make stupid jokes.	Ne fais pas de plaisanteries stupides !
Don't read in this room.	Ne lisez pas dans cette pièce.
Don't talk to strangers.	Ne parle pas aux étrangers.
Don't touch the flowers.	Ne touchez pas les fleurs.
Don't watch too much TV.	Ne regardez pas trop la télé !
Don't you know his name?	Ne connais-tu pas son nom ?
Draw a line from A to B.	Tracez une ligne de A à B.
Even children know that.	Même les enfants savent cela.
Everyone has to do that.	Tout le monde doit le faire.
Everyone makes mistakes.	Tout le monde commet des fautes.
Everyone's still asleep.	Tout le monde est encore endormi.
Excuse me. May I get by?	Excusez-moi. Puis-je passer ?
Fill the pot with water.	Remplissez le pot avec de l'eau.
Get me something to eat.	Trouve-moi quelque chose à manger.
Get some help, will you?	Va quérir de l'aide, veux-tu ?
Give me a drink, please.	Donne-moi quelque chose à boire, je te prie !
Give me one good reason.	Fournissez-moi une bonne raison.
Go get a drink of water.	Va chercher un verre d'eau.
Has Tom always been fat?	Tom a-t'il toujours été gros ?
Have they made progress?	Elles ont fait des progrès ?
Have you heard from him?	As-tu eu de ses nouvelles ?
Have you read this book?	Avez-vous lu ce livre ?
He acted like a lunatic.	Il a été frappé de démence.
He asked for some money.	Il a demandé un peu d'argent.
He bought himself a dog.	Il s'est acheté un chien.
He came out of the room.	Il sortit de la chambre.
He caught a large trout.	Il a attrapé une grosse truite.
He did it for the money.	Il l'a fait pour le fric.
He didn't want to leave.	Il ne voulait pas partir.
He doesn't look his age.	Il ne fait pas son âge.
He faced toward the sea.	Il faisait face à la mer.
He glanced at his watch.	Il jeta un coup d'œil à sa montre.
He got what he deserved.	Il n'a que ce qu'il mérite.
He has already said yes.	Il a déjà dit oui.
He hopes to visit Paris.	Il espère visiter Paris.
He is a tennis champion.	C'est un champion de tennis.
He is fluent in English.	Il parle anglais couramment.
He is no friend of mine.	Il ne compte pas au nombre de mes amis.
He is not wearing a hat.	Il ne porte pas de chapeau.
He is said to have died.	On le dit mort.
He isn't at home, is he?	Il n'est pas à la maison, n'est-ce pas ?
He lives here all alone.	Il vit ici tout seul.
He made a joke about it.	Il a fait une blague à ce propos.
He never drinks alcohol.	Il ne boit jamais d'alcool.
He plugged in the radio.	Il brancha la radio.
He saved a lot of money.	Il a économisé beaucoup d'argent.
He speaks broken French.	Il parle un français approximatif.
He thinks he knows best.	Il pense qu'il sait tout mieux que les autres.
He took off his clothes.	Il retira ses vêtements.
He twirled his mustache.	Il tournicota sa moustache.
He was a tall, thin man.	C'était un homme grand et mince.
He was checking you out.	C'est lui qui vous a encaissé.
He was more than a king.	Il fut plus qu'un roi.
He was visibly bothered.	Il était visiblement inquiet.
He went there in person.	Il y est allé en personne.
He'll be a good husband.	Il sera un bon mari.
He's a short order cook.	Il cuisine à la demande.
He's angry at the world.	Il est en colère après le monde.
He's good at arithmetic.	Il est bon en calcul.
He's scared of that dog.	Il a peur de ce chien.
Help me move this stone.	Aide-moi à déplacer cette pierre.
Here's my email address.	Voilà mon adresse électronique.
His eyesight is failing.	Sa vue baisse.
Hold it with both hands.	Tiens-le à deux mains.
How can I make him stop?	Comment puis-je faire en sorte qu'il s'arrête ?
How can you be so cruel?	Comment pouvez-vous être si cruels ?
How could they not know?	Comment pouvaient-elles l'ignorer ?
How did you get in here?	Comment as-tu pénétré ici ?
How do you deal with it?	Comment t'en sors-tu ?
How is the family doing?	Comment va la famille ?
How many do you see now?	Combien en vois-tu, maintenant ?
How much does this cost?	Ça coûte combien ?
How old is your brother?	Quel âge a ton frère ?
How's your morning been?	Comment s'est passée ta matinée ?
I almost made a mistake.	J'ai failli faire une erreur.
I am eighteen years old.	J'ai dix-huit ans.
I am your friend, right?	Je suis bien ton ami, non ?
I ate a salad for lunch.	J'ai mangé une salade pour le dîner.
I bought new sunglasses.	J'ai acheté de nouvelles lunettes de soleil.
I came here to meet you.	Je suis venue ici pour vous rencontrer.
I can hardly believe it.	J'arrive à peine à le croire.
I can't believe I cried.	Je n'arrive pas à croire que j'ai pleuré.
I can't do this anymore.	Je ne peux plus faire ça.
I can't figure this out.	Je ne parviens pas à le déchiffrer.
I can't just do nothing.	Je ne peux pas juste ne rien faire.
I can't really remember.	Je ne parviens pas vraiment à me rappeler.
I can't stand hospitals.	Je ne peux pas supporter les hôpitaux.
I can't talk about that.	Je ne peux pas en parler.
I care about all of you.	Je me soucie de vous tous.
I cook a little at home.	Je cuisine un peu à la maison.
I could hear everything.	Je pouvais tout entendre.
I couldn't tell you why.	Je ne pourrais vous dire pourquoi.
I didn't change a thing.	Je n'ai rien changé.
